emp_no,dept_no,from_date,to_date
111535,d008,12-06-1996,12-06-1999
111536,d008,21-09-1997,15-06-9999
111537,d008,13-06-1992,12-06-1998
111538,d008,14-01-1994,13-01-1999
111539,d008,13-06-1994,11-06-2001
111540,d008,04-05-1993,03-05-1998
111541,d008,26-03-1996,25-03-2001
111542,d008,19-07-1995,15-06-9999
111543,d008,12-06-1997,11-06-2003
111544,d008,20-06-1993,19-06-1999
111545,d008,29-05-1999,01-01-9999
111692,d009,20-05-1991,28-12-2001
111784,d009,10-02-1993,09-02-1997
111877,d009,16-08-1995,15-08-1999
111939,d009,08-07-1997,01-01-9999
111940,d009,20-09-1996,19-09-2002
111941,d009,28-09-1992,27-09-1998
111942,d009,02-05-1994,01-05-1999
111943,d009,01-03-1991,27-02-1999
111944,d009,03-02-1995,01-02-2001
111945,d009,01-02-1994,31-01-1999
111946,d009,01-02-1995,31-01-2000
111947,d009,01-02-1996,30-01-2001
111948,d009,31-01-1997,30-01-2002
111949,d009,22-01-1992,20-01-1998
111950,d009,25-08-1993,24-08-1998
111951,d009,24-06-1990,22-06-1998
111952,d009,29-05-1994,27-05-2000
112000,d009,29-05-1998,23-06-2000
112001,d009,29-05-1999,27-06-2000
112002,d009,29-05-1999,22-01-2002
112003,d009,29-05-2000,14-10-2008
112004,d009,29-05-2000,15-01-2009
